2025-12-12 17:57:07.471 INFO  [main] c.s.s.SpringBatchApplication - Starting SpringBatchApplication using Java 21.0.9 with PID 186634 (/media/franklyn/Projetos2/IdeaProjects/Spring-Batch/spring-batch/build/classes/java/main started by franklyn in /media/franklyn/Projetos2/IdeaProjects/Spring-Batch/spring-batch)
2025-12-12 17:57:07.472 INFO  [main] c.s.s.SpringBatchApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-12 17:57:07.913 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-12 17:57:08.041 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@476ee5b3
2025-12-12 17:57:08.042 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-12 17:57:08.229 INFO  [main] c.s.s.SpringBatchApplication - Started SpringBatchApplication in 1.151 seconds (process running for 1.363)
2025-12-12 17:57:08.232 INFO  [main] o.s.b.a.b.JobLauncherApplicationRunner - Running default command line with: []
2025-12-12 17:57:08.301 INFO  [main] o.s.b.c.l.s.TaskExecutorJobLauncher - Job: [SimpleJob: [name=imprimeOlaJob]] launched with the following parameters: [{'run.id':'{value=23, type=class java.lang.Long, identifying=true}'}]
2025-12-12 17:57:08.323 INFO  [main] o.s.batch.core.job.SimpleStepHandler - Executing step: [imprimeOlaStep]
2025-12-12 17:57:08.339 INFO  [main] o.s.batch.core.step.AbstractStep - Step: [imprimeOlaStep] executed in 14ms
2025-12-12 17:57:08.353 INFO  [main] o.s.b.c.l.s.TaskExecutorJobLauncher - Job: [SimpleJob: [name=imprimeOlaJob]] completed with the following parameters: [{'run.id':'{value=23, type=class java.lang.Long, identifying=true}'}] and the following status: [COMPLETED] in 39ms
2025-12-12 17:57:08.357 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-12 17:57:08.382 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-12 23:33:52.753 INFO  [main] c.s.s.SpringBatchApplication - Starting SpringBatchApplication using Java 21.0.9 with PID 535576 (/media/franklyn/Projetos2/IdeaProjects/Spring-Batch/spring-batch/build/classes/java/main started by franklyn in /media/franklyn/Projetos2/IdeaProjects/Spring-Batch/spring-batch)
2025-12-12 23:33:52.755 INFO  [main] c.s.s.SpringBatchApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-12 23:33:53.255 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-12 23:33:53.410 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5d51e129
2025-12-12 23:33:53.411 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-12 23:33:53.621 INFO  [main] c.s.s.SpringBatchApplication - Started SpringBatchApplication in 1.308 seconds (process running for 1.528)
2025-12-12 23:33:53.624 INFO  [main] o.s.b.a.b.JobLauncherApplicationRunner - Running default command line with: []
2025-12-12 23:33:53.696 INFO  [main] o.s.b.c.l.s.TaskExecutorJobLauncher - Job: [SimpleJob: [name=imprimeOlaJob]] launched with the following parameters: [{'run.id':'{value=24, type=class java.lang.Long, identifying=true}'}]
2025-12-12 23:33:53.719 INFO  [main] o.s.batch.core.job.SimpleStepHandler - Executing step: [imprimeOlaStep]
2025-12-12 23:33:53.734 INFO  [main] o.s.batch.core.step.AbstractStep - Step: [imprimeOlaStep] executed in 14ms
2025-12-12 23:33:53.748 INFO  [main] o.s.b.c.l.s.TaskExecutorJobLauncher - Job: [SimpleJob: [name=imprimeOlaJob]] completed with the following parameters: [{'run.id':'{value=24, type=class java.lang.Long, identifying=true}'}] and the following status: [COMPLETED] in 40ms
2025-12-12 23:33:53.753 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-12 23:33:53.760 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
